Year,State,Region,Democratic %,Republican %,P.S.,P.S. Score,National Winner
1976,Alabama,S,55.7,42.6,D+,11.23,Carter
1976,Alaska,W,35.7,57.9,R+,-25.89,Carter
1976,Arizona,W,39.8,56.4,R+,-19.33,Carter
1976,Arkansas,S,64.9,34.9,D+,27.94,Carter
1976,California,W,47.6,49.3,R+,-3.94,Carter
1976,Colorado,W,42.6,54.1,R+,-13.98,Carter
1976,Connecticut,N,46.9,52.1,R+,-7.32,Carter
1976,Delaware,N,52.0,46.6,D+,3.39,Carter
1976,Florida,S,51.9,46.6,D+,3.26,Carter
1976,Georgia,S,66.7,33.0,D+,31.77,Carter
1976,Hawaii,W,50.6,48.1,D+,0.46,Carter
1976,Idaho,W,37.1,59.9,R+,-25.57,Carter
1976,Illinois,M,48.1,50.1,R+,-4.11,Carter
1976,Indiana,M,45.7,53.3,R+,-9.80,Carter
1976,Iowa,M,48.5,49.5,R+,-3.14,Carter
1976,Kansas,M,44.9,52.5,R+,-9.86,Carter
1976,Kentucky,S,52.8,45.6,D+,5.20,Carter
1976,Louisiana,S,51.7,46.0,D+,3.81,Carter
1976,Maine,N,48.1,48.9,R+,-2.97,Carter
1976,Maryland,N,53.0,47.0,D+,3.97,Carter
1976,Massachusetts,N,56.1,40.4,D+,14.12,Carter
1976,Michigan,M,46.4,51.8,R+,-7.59,Carter
1976,Midwest,M,48.3,49.7,R+,-3.47,Carter
1976,Minnesota,M,54.9,42.0,D+,11.18,Carter
1976,Mississippi,S,49.6,47.7,R+,-0.17,Carter
1976,Missouri,M,51.1,47.5,D+,1.58,Carter
1976,Montana,W,45.4,52.8,R+,-9.67,Carter
1976,Nebraska,M,38.5,59.2,R+,-23.34,Carter
1976,Nevada,W,45.8,50.2,R+,-6.64,Carter
1976,New Hampshire,N,43.5,54.7,R+,-13.59,Carter
1976,New Jersey,N,47.9,50.1,R+,-4.31,Carter
1976,New Mexico,W,48.3,50.7,R+,-4.59,Carter
1976,New York,N,51.9,47.5,D+,2.34,Carter
1976,North Carolina,S,55.3,44.2,D+,9.00,Carter
1976,North Dakota,M,45.8,51.7,R+,-8.11,Carter
1976,Northeast,N,51.3,47.2,D+,2.02,Carter
1976,Ohio,M,48.9,48.7,R+,-1.83,Carter
1976,Oklahoma,S,48.7,50.0,R+,-3.34,Carter
1976,Oregon,W,47.6,47.8,R+,-2.28,Carter
1976,Pennsylvania,N,50.4,47.7,D+,0.61,Carter
1976,Region,,,,,,Carter
1976,Rhode Island,N,55.4,44.1,D+,9.24,Carter
1976,South,S,53.9,44.9,D+,6.98,Carter
1976,South Carolina,S,56.2,43.1,D+,11.03,Carter
1976,South Dakota,M,48.9,50.4,R+,-3.59,Carter
1976,Tennessee,S,55.9,42.9,D+,11.04,Carter
1976,Texas,S,51.1,48.0,D+,1.09,Carter
1976,Utah,W,33.6,62.4,R+,-32.06,Carter
1976,Vermont,N,43.1,54.3,R+,-13.59,Carter
1976,Virginia,S,48.0,49.3,R+,-3.48,Carter
1976,Washington,W,46.1,50.0,R+,-6.15,Carter
1976,Washington D.C.,N,81.6,16.5,D+,64.25,Carter
1976,West,W,45.7,51.0,R+,-7.57,Carter
1976,West Virginia,S,58.1,41.9,D+,14.03,Carter
1976,Wisconsin,M,49.5,47.8,R+,-0.38,Carter
1976,Wyoming,W,39.8,59.3,R+,-21.77,Carter
1980,Alabama,S,47.4,48.8,D+,9.26,Reagan
1980,Alaska,W,26.4,54.3,R+,-23.99,Reagan
1980,Arizona,W,28.2,60.6,R+,-25.81,Reagan
1980,Arkansas,S,47.5,48.1,D+,9.97,Reagan
1980,California,W,35.9,52.7,R+,-8.33,Reagan
1980,Colorado,W,31.1,55.1,R+,-17.25,Reagan
1980,Connecticut,N,38.5,48.2,R+,-0.50,Reagan
1980,Delaware,N,44.9,47.2,D+,8.08,Reagan
1980,Florida,S,38.5,55.5,R+,-7.49,Reagan
1980,Georgia,S,55.8,41.0,D+,25.92,Reagan
1980,Hawaii,W,44.8,42.9,D+,12.78,Reagan
1980,Idaho,W,25.2,66.5,R+,-34.42,Reagan
1980,Illinois,M,41.7,49.6,D+,1.93,Reagan
1980,Indiana,M,37.7,56.0,R+,-8.98,Reagan
1980,Iowa,M,38.6,51.3,R+,-3.52,Reagan
1980,Kansas,M,33.3,57.9,R+,-16.34,Reagan
1980,Kentucky,S,47.6,49.1,D+,9.10,Reagan
1980,Louisiana,S,45.7,51.2,D+,4.99,Reagan
1980,Maine,N,42.3,45.6,D+,6.79,Reagan
1980,Maryland,N,47.1,44.2,D+,13.85,Reagan
1980,Massachusetts,N,41.7,41.9,D+,10.43,Reagan
1980,Michigan,M,42.5,49.0,D+,3.52,Reagan
1980,Midwest,M,40.9,50.9,R+,-0.36,Reagan
1980,Minnesota,M,46.5,42.6,D+,15.04,Reagan
1980,Mississippi,S,48.1,49.4,D+,9.25,Reagan
1980,Missouri,M,44.3,51.2,D+,3.48,Reagan
1980,Montana,W,32.4,56.8,R+,-16.72,Reagan
1980,Nebraska,M,26.0,65.5,R+,-32.52,Reagan
1980,Nevada,W,26.9,62.5,R+,-29.24,Reagan
1980,New Hampshire,N,28.4,57.7,R+,-23.52,Reagan
1980,New Jersey,N,38.6,52.0,R+,-4.21,Reagan
1980,New Mexico,W,36.8,55.0,R+,-9.21,Reagan
1980,New York,N,44.0,46.7,D+,7.67,Reagan
1980,North Carolina,S,47.2,49.3,D+,8.41,Reagan
1980,North Dakota,M,26.3,64.2,R+,-31.35,Reagan
1980,Northeast,N,42.5,47.1,D+,5.43,Reagan
1980,Ohio,M,40.9,51.5,R+,-0.86,Reagan
1980,Oklahoma,S,35.0,60.5,R+,-16.13,Reagan
1980,Oregon,W,38.7,48.3,R+,-0.49,Reagan
1980,Pennsylvania,N,42.5,49.6,D+,2.89,Reagan
1980,Region,,,,,,Reagan
1980,Rhode Island,N,47.7,37.2,D+,22.94,Reagan
1980,South,S,44.4,51.6,D+,3.12,Reagan
