,Year,State,Region,Democratic %,Republican %,P.S.,P.S. Score,National Winner,State Winner,ElectionYear_Unemployment,Change_Since_Last_Election
0,1976,Alabama,South,55.7,42.6,D+,11.23,Carter (D),Democrat,7.0,
1,1980,Alabama,South,47.4,48.8,D+,9.26,Reagan (R),Democrat,9.4,2.4000000000000004
2,1984,Alabama,South,38.3,60.5,R+,-4.19,Reagan (R),Republican,10.5,1.0999999999999996
3,1988,Alabama,South,39.9,59.2,R+,-11.69,Bush H.W. (R),Republican,7.3,-3.2
4,1992,Alabama,South,40.9,47.6,R+,-14.55,Clinton (D),Republican,7.5,0.20000000000000018
5,1996,Alabama,South,43.2,50.1,R+,-16.94,Clinton (D),Republican,5.1,-2.4000000000000004
6,2000,Alabama,South,41.6,56.5,R+,-15.71,Bush W. (R),Republican,4.6,-0.5
7,2004,Alabama,South,36.8,62.5,R+,-23.31,Bush W. (R),Republican,5.2,0.6000000000000005
8,2008,Alabama,South,38.7,60.3,R+,-29.16,Obama (D),Republican,7.2,2.0
9,2012,Alabama,South,38.4,60.5,R+,-26.36,Obama (D),Republican,7.8,0.5999999999999996
10,2016,Alabama,South,34.4,62.1,R+,-30.97,Trump (R),Republican,5.7,-2.0999999999999996
11,2020,Alabama,South,36.6,62.0,R+,-30.36,Biden (D),Republican,4.8,-0.9000000000000004
12,2024,Alabama,South,34.1,64.6,R+,-29.38,Trump (R),Republican,3.3,-1.5
13,1976,Alaska,West,35.7,57.9,R+,-25.89,Carter (D),Republican,8.6,
14,1980,Alaska,West,26.4,54.3,R+,-23.99,Reagan (R),Republican,9.5,0.9000000000000004
15,1984,Alaska,West,29.9,66.7,R+,-19.77,Reagan (R),Republican,9.6,0.09999999999999964
16,1988,Alaska,West,36.3,59.6,R+,-16.52,Bush H.W. (R),Republican,8.3,-1.299999999999999
17,1992,Alaska,West,30.3,39.5,R+,-20.06,Clinton (D),Republican,8.4,0.09999999999999964
18,1996,Alaska,West,33.3,50.8,R+,-30.33,Clinton (D),Republican,7.4,-1.0
19,2000,Alaska,West,27.7,58.6,R+,-36.41,Bush W. (R),Republican,6.3,-1.1000000000000005
20,2004,Alaska,West,35.5,61.1,R+,-23.96,Bush W. (R),Republican,7.2,0.9000000000000004
21,2008,Alaska,West,37.9,59.4,R+,-29.51,Obama (D),Republican,6.8,-0.40000000000000036
