Year,State,Region,Democratic %,Republican %,P.S.,P.S. Score,National Winner,State Winner
1976,Alabama,South,55.7%,42.6%,D+,11.23,Carter (D),Democrat
1980,Alabama,South,47.4%,48.8%,D+,9.26,Reagan (R),Democrat
1984,Alabama,South,38.3%,60.5%,R+,-4.19,Reagan (R),Republican
1988,Alabama,South,39.9%,59.2%,R+,-11.69,Bush H.W. (R),Republican
1992,Alabama,South,40.9%,47.6%,R+,-14.55,Clinton (D),Republican
1996,Alabama,South,43.2%,50.1%,R+,-16.94,Clinton (D),Republican
2000,Alabama,South,41.6%,56.5%,R+,-15.71,Bush W. (R),Republican
2004,Alabama,South,36.8%,62.5%,R+,-23.31,Bush W. (R),Republican
2008,Alabama,South,38.7%,60.3%,R+,-29.16,Obama (D),Republican
2012,Alabama,South,38.4%,60.5%,R+,-26.36,Obama (D),Republican
2016,Alabama,South,34.4%,62.1%,R+,-30.97,Trump (R),Republican
2020,Alabama,South,36.6%,62.0%,R+,-30.36,Biden (D),Republican
2024,Alabama,South,34.1%,64.6%,R+,-29.38,Trump (R),Republican
1976,Alaska,West,35.7%,57.9%,R+,-25.89,Carter (D),Republican
1980,Alaska,West,26.4%,54.3%,R+,-23.99,Reagan (R),Republican
1984,Alaska,West,29.9%,66.7%,R+,-19.77,Reagan (R),Republican
1988,Alaska,West,36.3%,59.6%,R+,-16.52,Bush H.W. (R),Republican
1992,Alaska,West,30.3%,39.5%,R+,-20.06,Clinton (D),Republican
1996,Alaska,West,33.3%,50.8%,R+,-30.33,Clinton (D),Republican
2000,Alaska,West,27.7%,58.6%,R+,-36.41,Bush W. (R),Republican
2004,Alaska,West,35.5%,61.1%,R+,-23.96,Bush W. (R),Republican
2008,Alaska,West,37.9%,59.4%,R+,-29.51,Obama (D),Republican
2012,Alaska,West,40.8%,54.8%,R+,-18.56,Obama (D),Republican
2016,Alaska,West,36.6%,51.3%,R+,-19.00,Trump (R),Republican
2020,Alaska,West,42.8%,52.8%,R+,-15.06,Biden (D),Republican
2024,Alaska,West,41.4%,54.5%,R+,-12.19,Trump (R),Republican
1976,Arizona,West,39.8%,56.4%,R+,-19.33,Carter (D),Republican
1980,Arizona,West,28.2%,60.6%,R+,-25.81,Reagan (R),Republican
1984,Arizona,West,32.5%,66.4%,R+,-15.89,Reagan (R),Republican
1988,Arizona,West,38.7%,60.0%,R+,-13.68,Bush H.W. (R),Republican
1992,Arizona,West,36.5%,38.5%,R+,-9.51,Clinton (D),Republican
